artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year,genre_main
sexyy red & drake,sexyy red & drake,sexyy red,sexyy red,Sexyy Red,3DbwFQlvLxRSi2uX8mf81A,hip hop;trap,musicbrainz,l2,2024,HipHop
sexyy red & tay keith & nicki minaj,sexyy red & tay keith & nicki minaj,sexyy red,sexyy red,Sexyy Red,3DbwFQlvLxRSi2uX8mf81A,hip hop;trap,musicbrainz,l2,2023,HipHop
sha na na,sha na na,sha na na,sha na na,Sha Na Na,2SmjZ060s1uBMud6afmImP,musicals;doo-wop,spotify,artist,1975,
shabba ranks,shabba ranks,shabba ranks,shabba ranks,Shabba Ranks,3j7Sw80qzL2FJlryUhI3wG,dancehall;ragga;reggae;lovers rock,spotify,artist,1995,Reggae
shabba ranks (featuring johnny gill),shabba ranks,shabba ranks,shabba ranks,Shabba Ranks,3j7Sw80qzL2FJlryUhI3wG,dancehall;ragga;reggae;lovers rock,spotify,l1,1993,Reggae
shabba ranks (featuring maxi priest),shabba ranks,shabba ranks,shabba ranks,Shabba Ranks,3j7Sw80qzL2FJlryUhI3wG,dancehall;ragga;reggae;lovers rock,spotify,l1,1992,Reggae
shabba ranks featuring patra and terri & monica,shabba ranks,shabba ranks,shabba ranks,Shabba Ranks,3j7Sw80qzL2FJlryUhI3wG,dancehall;ragga;reggae;lovers rock,spotify,l1,1994,Reggae
shaboozey,shaboozey,shaboozey,shaboozey,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,country;hip hop;country pop;stomp and holler,musicbrainz,artist,2025,Pop
shaboozey & jelly roll,shaboozey & jelly roll,shaboozey,shaboozey,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,country;hip hop;country pop;stomp and holler,musicbrainz,l2,2025,Pop
shades,shades,shades,shades,Shades,3hZYcnuncZYCJzqO9pwpAK,drumstep;bass music;dubstep,spotify,artist,1997,Electronic
shades of blue,shades of blue,shades of blue,shades of blue,Shades Of Blue,3kzeaOVmlageWLAX1CRODw,,none,artist,1966,
shadows of knight,shadows of knight,shadows of knight,shadows of knight,,,garage rock;psychedelic rock,musicbrainz,,1968,Rock
shae jones,shae jones,shae jones,shae jones,Shae Jones,5qtdcfmOeoM8S9IdhvGlXG,quiet storm;contemporary r&b,spotify,artist,1999,RnB
shaggy,shaggy,shaggy,shaggy,Shaggy,5MKz87111LBfgVVTwWLpte,dancehall;reggae;reggae-pop;ragga;dance-pop,musicbrainz,artist,1995,Reggae
shaggy (featuring marsha),shaggy,shaggy,shaggy,Shaggy,5MKz87111LBfgVVTwWLpte,dancehall;reggae;reggae-pop;ragga;dance-pop,musicbrainz,l1,1997,Reggae
